Codigo_Cliente,Tipo_De_Persona,Segmento,Edad,Zona,Sexo,Limite_TC
385.0,N,Preferencial,53.0,Norte,F,420000.0
388.0,N,Preferencial,57.0,Norte,F,101000.0
398.0,N,Preferencial,60.0,Norte,M,350000.0
404.0,N,Preferencial,52.0,Norte,M,112500.0
461.0,N,Prestige,51.0,Norte,F,851200.0
474.0,N,Mi_Negocio,57.0,Norte,F,300000.0
486.0,N,Mi_Negocio,52.0,Norte,M,400000.0
498.0,N,Preferencial,55.0,Norte,M,1230000.0
518.0,N,Clasico,67.0,Norte,M,93000.0
519.0,N,Clasico,47.0,Norte,M,8000.0
524.0,N,Mi_Negocio,49.0,Norte,M,400000.0
529.0,N,Mi_Negocio,40.0,Norte,M,300000.0
534.0,N,Emergente,71.0,Metropolitana,F,6000.0
568.0,N,Emergente,75.0,Metropolitana,F,200000.0
580.0,N,Emergente,64.0,Norte,F,53000.0
584.0,N,Emergente,45.0,Norte,M,78000.0
613.0,N,Preferencial,54.0,Norte,F,150000.0
625.0,N,Prestige,62.0,Metropolitana,F,656000.0
653.0,N,Mi_Negocio,62.0,Norte,M,400000.0
675.0,N,Prestige,49.0,Norte,M,187500.0
676.0,N,Mi_Negocio,60.0,Norte,M,1000000.0
685.0,N,Emergente,66.0,Norte,F,804000.0
698.0,N,Emergente,53.0,Norte,M,175000.0
718.0,N,Preferencial,52.0,Metropolitana,M,220000.0
750.0,N,Clasico,65.0,Norte,F,300000.0
785.0,N,Emergente,80.0,Metropolitana,F,360000.0
795.0,N,Emergente,74.0,Norte,M,75000.0
900.0,N,Emergente,59.0,Norte,M,30000.0
922.0,N,Clasico,39.0,Metropolitana,M,13000.0
958.0,N,Mi_Negocio,54.0,Norte,M,130000.0
963.0,N,Mi_Negocio,55.0,Norte,M,350550.0
971.0,N,Mi_Negocio,64.0,Norte,M,150000.0
993.0,N,Preferencial,60.0,Norte,M,200000.0
1011.0,N,Clasico,67.0,Metropolitana,F,40000.0
1017.0,N,Preferencial,48.0,Norte,F,426000.0
1019.0,N,Preferencial,57.0,Norte,M,450000.0
1021.0,N,Prestige,57.0,Norte,M,300000.0
1034.0,N,Mi_Negocio,44.0,Metropolitana,F,144000.0
1068.0,N,Mi_Negocio,61.0,Norte,M,150000.0
1084.0,N,Mi_Negocio,48.0,Norte,F,120000.0
1089.0,N,Preferencial,61.0,Norte,M,525000.0
1093.0,N,Clasico,37.0,Metropolitana,F,25000.0
1099.0,N,Emergente,43.0,Norte,F,30000.0
1106.0,N,Emergente,54.0,Norte,F,130000.0
1165.0,N,Prestige,57.0,Norte,M,600000.0
1167.0,N,Preferencial,49.0,Norte,F,240000.0
1185.0,N,Emergente,58.0,Norte,M,300000.0
1214.0,N,Prestige,59.0,Norte,M,600000.0
1276.0,N,Clasico,40.0,Norte,M,25000.0
1317.0,N,Mi_Negocio,53.0,Norte,M,400000.0
1327.0,N,Preferencial,56.0,Norte,M,500000.0
1328.0,N,Preferencial,56.0,Norte,M,420000.0
1350.0,N,Prestige,56.0,Norte,M,400000.0
1365.0,N,Preferencial,60.0,Norte,M,180000.0
1387.0,N,Emergente,44.0,Norte,M,15000.0
1389.0,N,Preferencial,46.0,Norte,F,180000.0
1391.0,N,Emergente,40.0,Norte,F,18000.0
1415.0,N,Preferencial,51.0,Metropolitana,F,19400.0
1423.0,N,Preferencial,62.0,Norte,M,69000.0
1424.0,N,Clasico,63.0,Norte,M,30000.0
1434.0,N,Preferencial,46.0,Norte,M,51000.0
1449.0,N,Emergente,47.0,Norte,M,14400.0
1470.0,N,Emergente,45.0,Norte,F,45000.0
1479.0,N,Emergente,47.0,Norte,M,30000.0
1482.0,N,Emergente,48.0,Norte,F,66000.0
1487.0,N,Emergente,49.0,Norte,M,113000.0
1513.0,N,Clasico,52.0,Norte,F,315000.0
1527.0,N,Preferencial,46.0,Norte,M,239000.0
1558.0,N,Preferencial,60.0,Norte,M,300000.0
1561.0,N,Emergente,57.0,Norte,F,53000.0
1564.0,N,Preferencial,61.0,Norte,M,399000.0
1567.0,N,Preferencial,41.0,Norte,M,120000.0
1644.0,N,Emergente,50.0,Norte,F,50000.0
1673.0,N,Emergente,50.0,Norte,M,20000.0
1674.0,N,Mi_Negocio,70.0,Norte,M,400000.0
1677.0,N,Prestige,42.0,Norte,M,337500.0
1689.0,N,Prestige,59.0,Norte,F,432000.0
1709.0,N,Mi_Negocio,47.0,Norte,M,700000.0
1745.0,N,Preferencial,50.0,Norte,F,240000.0
1757.0,N,Preferencial,61.0,Norte,M,300000.0
1758.0,N,Preferencial,64.0,Norte,M,134220.0
1770.0,N,Preferencial,62.0,Norte,F,180000.0
1790.0,N,Prestige,61.0,Norte,F,120000.0
1803.0,N,Prestige,61.0,Norte,M,500000.0
1826.0,N,Mi_Negocio,42.0,Norte,F,480000.0
1835.0,N,Clasico,67.0,Norte,M,87000.0
1841.0,N,Preferencial,47.0,Norte,F,297000.0
1854.0,N,Mi_Negocio,67.0,Norte,M,578000.0
1863.0,N,Emergente,52.0,Norte,M,200000.0
1876.0,N,Mi_Negocio,52.0,Norte,M,180000.0
1880.0,N,Mi_Negocio,48.0,Norte,M,15000.0
1888.0,N,Preferencial,64.0,Norte,M,300000.0
1900.0,N,Preferencial,53.0,Norte,M,400000.0
1908.0,N,Clasico,53.0,Norte,F,100000.0
1922.0,N,Prestige,56.0,Norte,M,200000.0
1925.0,N,Prestige,48.0,Metropolitana,M,630000.0
1937.0,N,Preferencial,50.0,Norte,M,300000.0
1997.0,N,Prestige,42.0,Norte,M,50000.0
2028.0,N,Preferencial,62.0,Norte,F,63000.0
2069.0,N,Preferencial,49.0,Norte,F,100000.0
2073.0,N,Preferencial,51.0,Norte,F,375000.0
2083.0,N,Emergente,53.0,Norte,M,118000.0
2114.0,N,Preferencial,54.0,Norte,M,184000.0
2115.0,N,Preferencial,75.0,Norte,M,200000.0
2139.0,N,Preferencial,48.0,Norte,M,154000.0
2149.0,N,Mi_Negocio,61.0,Norte,M,100000.0
2164.0,N,Mi_Negocio,49.0,Norte,M,600000.0
2167.0,N,Preferencial,69.0,Norte,M,300000.0
2176.0,N,Prestige,60.0,Norte,F,500000.0
2178.0,N,Preferencial,58.0,Norte,M,180000.0
2240.0,N,Preferencial,58.0,Norte,M,50000.0
2249.0,N,Prestige,62.0,Norte,M,400000.0
2265.0,N,Preferencial,54.0,Norte,F,400000.0
2283.0,N,Mi_Negocio,39.0,Norte,F,195000.0
2330.0,N,Preferencial,54.0,Norte,F,150000.0
2331.0,N,Preferencial,60.0,Norte,M,500000.0
2348.0,N,Emergente,61.0,Norte,M,25000.0
2373.0,N,Mi_Negocio,64.0,Norte,M,400000.0
2380.0,N,Preferencial,60.0,Metropolitana,M,400000.0
2385.0,N,Preferencial,38.0,Norte,M,220000.0
2387.0,N,Clasico,42.0,Norte,F,32000.0
2388.0,N,Preferencial,58.0,Metropolitana,F,400000.0
2411.0,N,Mi_Negocio,70.0,Norte,M,240000.0
2419.0,N,Prestige,51.0,Norte,M,375000.0
2423.0,N,Preferencial,64.0,Norte,M,100000.0
2433.0,N,Preferencial,55.0,Norte,F,252000.0
2467.0,N,Preferencial,40.0,Norte,M,600000.0
2497.0,N,Prestige,59.0,Norte,M,300000.0
2505.0,N,Preferencial,54.0,Norte,F,388800.0
2513.0,N,Prestige,58.0,Norte,M,200000.0
2532.0,N,Mi_Negocio,56.0,Norte,M,750000.0
2552.0,N,Preferencial,55.0,Norte,M,1077000.0
2559.0,N,Preferencial,59.0,Norte,F,200000.0
2591.0,N,Mi_Negocio,46.0,Norte,M,600000.0
2592.0,N,Prestige,70.0,Norte,M,660000.0
2596.0,N,Mi_Negocio,60.0,Norte,M,840000.0
2606.0,N,Mi_Negocio,56.0,Norte,F,1213000.0
2612.0,N,Preferencial,54.0,Norte,F,240000.0
2755.0,N,Emergente,55.0,Norte,F,100000.0
2757.0,N,Preferencial,58.0,Norte,M,263000.0
2766.0,N,Prestige,72.0,Norte,F,210000.0
2808.0,N,Emergente,59.0,Norte,M,60000.0
2811.0,N,Clasico,71.0,Norte,F,25000.0
2823.0,N,Preferencial,56.0,Norte,M,583000.0
2826.0,N,Mi_Negocio,65.0,Norte,M,200000.0
2833.0,N,Prestige,65.0,Norte,M,100000.0
2845.0,N,Emergente,50.0,Norte,F,75000.0
2872.0,N,Mi_Negocio,53.0,Norte,M,960000.0
2880.0,N,Prestige,46.0,Norte,F,24000.0
2884.0,N,Preferencial,76.0,Norte,F,400000.0
2902.0,N,Emergente,40.0,Norte,M,25000.0
2926.0,N,Preferencial,66.0,Norte,M,262000.0
2939.0,N,Preferencial,80.0,Norte,M,250000.0
2950.0,N,Prestige,73.0,Norte,M,500000.0
2974.0,N,Prestige,57.0,Norte,M,239000.0
2989.0,N,Clasico,51.0,Norte,M,30000.0
2994.0,N,Emergente,39.0,Norte,M,83000.0
3057.0,N,Emergente,39.0,Norte,M,147000.0
3105.0,N,Emergente,64.0,Norte,M,24000.0
3109.0,N,Emergente,62.0,Norte,F,81262.0
3111.0,N,Emergente,55.0,Norte,M,60000.0
3117.0,N,Emergente,35.0,Norte,F,126000.0
3164.0,N,,41.0,Norte,M,25000.0
3330.0,N,Clasico,56.0,Norte,M,15000.0
3460.0,N,Clasico,41.0,Norte,F,40000.0
3633.0,N,Mi_Negocio,60.0,Norte,F,300000.0
3662.0,N,Emergente,68.0,Norte,M,36000.0
3696.0,N,Emergente,47.0,Norte,M,35000.0
3805.0,N,,41.0,Norte,M,32000.0
3898.0,N,Emergente,40.0,Metropolitana,M,40000.0
3955.0,N,Clasico,52.0,Norte,F,22500.0
3977.0,N,Emergente,53.0,Norte,F,50000.0
4031.0,N,Preferencial,44.0,Norte,M,297000.0
4099.0,N,Clasico,44.0,Norte,F,16000.0
4136.0,N,Emergente,39.0,Norte,M,61000.0
4206.0,N,Emergente,38.0,Norte,F,25000.0
4267.0,N,Clasico,37.0,Norte,M,25000.0
4292.0,N,Clasico,37.0,Norte,F,22500.0
4407.0,N,Preferencial,37.0,Norte,M,90000.0
4476.0,N,Prestige,65.0,Norte,M,500000.0
4478.0,N,Preferencial,61.0,Norte,M,53000.0
4485.0,N,Emergente,45.0,Norte,M,15000.0
4499.0,N,Emergente,40.0,Norte,M,12000.0
4519.0,N,Prestige,59.0,Norte,M,681000.0
4525.0,N,Emergente,59.0,Norte,M,33000.0
4531.0,N,Prestige,58.0,Norte,F,350000.0
4544.0,N,Emergente,40.0,Norte,M,20000.0
4549.0,N,Preferencial,55.0,Norte,M,375000.0
4559.0,N,Preferencial,57.0,Norte,M,187500.0
4576.0,N,Clasico,37.0,Metropolitana,M,400000.0
4579.0,N,Preferencial,37.0,Norte,M,15000.0
4591.0,N,Emergente,47.0,Norte,F,75000.0
4595.0,N,Emergente,55.0,Norte,M,531000.0
4603.0,N,Clasico,46.0,Norte,M,22500.0
4622.0,N,Prestige,60.0,Norte,M,400000.0
4677.0,N,Emergente,43.0,Norte,M,20000.0
4683.0,N,Clasico,38.0,Norte,M,20000.0
4690.0,N,Mi_Negocio,52.0,Norte,M,250000.0
4726.0,N,Preferencial,65.0,Norte,M,40000.0
4742.0,N,Clasico,51.0,Norte,F,12000.0
4751.0,N,Emergente,46.0,Norte,M,80000.0
4752.0,N,Preferencial,59.0,Norte,F,19000.0
4757.0,N,Mi_Negocio,51.0,Norte,M,200000.0
4758.0,N,Prestige,59.0,Norte,M,788000.0
4759.0,N,Prestige,42.0,Norte,M,400000.0
4765.0,N,Emergente,81.0,Norte,M,100000.0
4792.0,N,Mi_Negocio,52.0,Norte,M,150000.0
4793.0,N,Clasico,38.0,Norte,M,15000.0
4852.0,N,Mi_Negocio,45.0,Norte,M,200000.0
4869.0,N,Emergente,37.0,Norte,M,20000.0
4881.0,N,Clasico,40.0,Norte,F,25000.0
4887.0,N,Clasico,46.0,Norte,F,15000.0
4944.0,N,Clasico,59.0,Norte,F,30000.0
4951.0,N,Emergente,42.0,Norte,F,360000.0
5051.0,N,Clasico,42.0,Norte,F,25000.0
5108.0,N,Prestige,53.0,Norte,M,175000.0
5110.0,N,Emergente,57.0,Norte,M,94500.0
5119.0,N,Mi_Negocio,38.0,Norte,M,10000.0
5123.0,N,Preferencial,56.0,Norte,M,240000.0
5146.0,N,Preferencial,72.0,Norte,F,42000.0
5149.0,N,Mi_Negocio,50.0,Norte,M,216000.0
5163.0,N,Preferencial,46.0,Norte,M,300000.0
5167.0,N,Preferencial,59.0,Norte,M,720000.0
5191.0,N,Mi_Negocio,43.0,Norte,F,35000.0
5213.0,N,Mi_Negocio,42.0,Norte,M,42000.0
5237.0,N,Emergente,43.0,Norte,F,400000.0
5257.0,N,Emergente,37.0,Norte,F,350000.0
5306.0,N,Preferencial,71.0,Norte,M,400000.0
5308.0,N,Clasico,41.0,Norte,F,62500.0
5309.0,N,Clasico,60.0,Norte,M,37000.0
5314.0,N,Emergente,61.0,Norte,M,45000.0
5346.0,N,Preferencial,45.0,Norte,F,200000.0
5347.0,N,Mi_Negocio,53.0,Norte,M,355000.0
5378.0,N,Clasico,39.0,Norte,F,17000.0
5385.0,N,Preferencial,45.0,Norte,F,200000.0
5407.0,N,Preferencial,55.0,Norte,F,200000.0
5448.0,N,Prestige,61.0,Norte,F,707000.0
5449.0,N,Preferencial,59.0,Norte,M,407000.0
5463.0,N,Clasico,39.0,Norte,F,15000.0
5535.0,N,Emergente,62.0,Norte,F,31104.0
5567.0,N,Preferencial,45.0,Norte,M,75000.0
5639.0,N,Clasico,51.0,Norte,M,25000.0
5679.0,N,Emergente,69.0,Norte,M,100000.0
5713.0,N,Emergente,54.0,Norte,F,55000.0
5745.0,N,Emergente,50.0,Norte,M,106000.0
5752.0,N,Preferencial,60.0,Norte,M,600000.0
5755.0,N,Emergente,39.0,Norte,M,85000.0
5777.0,N,Mi_Negocio,46.0,Norte,M,45000.0
5803.0,N,Preferencial,66.0,Norte,M,405000.0
5881.0,N,Preferencial,67.0,Norte,F,200000.0
5918.0,N,Prestige,61.0,Norte,F,700000.0
5940.0,N,Clasico,21.0,Norte,F,10000.0
5957.0,N,Emergente,42.0,Norte,F,30000.0
5998.0,N,Clasico,37.0,Norte,F,15000.0
6006.0,N,Mi_Negocio,51.0,Metropolitana,F,240000.0
6007.0,N,Prestige,42.0,Norte,F,400000.0
6061.0,N,Preferencial,57.0,Norte,F,300000.0
6065.0,N,Mi_Negocio,51.0,Norte,M,400000.0
6134.0,N,Emergente,59.0,Norte,F,125000.0
6267.0,N,Prestige,52.0,Norte,M,420000.0
6278.0,N,Preferencial,53.0,Norte,F,15000.0
6309.0,N,Preferencial,40.0,Norte,M,600000.0
6329.0,N,Prestige,54.0,Norte,M,136602.0
6443.0,N,Emergente,39.0,Norte,M,35000.0
6446.0,N,Prestige,43.0,Norte,M,47000.0
6526.0,N,Preferencial,56.0,Norte,M,63000.0
6532.0,N,Clasico,44.0,Norte,M,22500.0
6534.0,N,Emergente,60.0,Norte,F,50000.0
6535.0,N,Emergente,46.0,Norte,F,16000.0
6552.0,N,Emergente,41.0,Norte,M,30000.0
6673.0,N,Clasico,54.0,Norte,F,20000.0
6749.0,N,Preferencial,58.0,Norte,F,200000.0
6769.0,N,Prestige,73.0,Metropolitana,M,600000.0
6771.0,N,Emergente,67.0,Norte,F,200000.0
6810.0,N,Clasico,41.0,Norte,F,68000.0
6876.0,N,Emergente,77.0,Norte,M,375000.0
6881.0,N,Prestige,61.0,Norte,F,139000.0
6955.0,N,Emergente,59.0,Norte,F,30000.0
6963.0,N,Clasico,47.0,Norte,M,8000.0
6970.0,N,Preferencial,66.0,Norte,F,300000.0
6993.0,N,Preferencial,46.0,Norte,F,200000.0
6994.0,N,Clasico,38.0,Norte,F,40000.0
7008.0,N,Emergente,45.0,Norte,M,101000.0
7070.0,N,Preferencial,55.0,Norte,M,630000.0
7101.0,N,Emergente,55.0,Norte,F,110000.0
7137.0,N,Mi_Negocio,53.0,Norte,F,200000.0
7138.0,N,Emergente,51.0,Norte,M,25000.0
7161.0,N,Preferencial,44.0,Norte,M,300000.0
7173.0,N,Preferencial,60.0,Norte,M,300000.0
7181.0,N,Prestige,65.0,Metropolitana,F,200000.0
7216.0,N,Prestige,46.0,Norte,M,250000.0
7228.0,N,Prestige,65.0,Norte,M,900000.0
7266.0,N,Preferencial,42.0,Norte,M,40000.0
7281.0,N,Mi_Negocio,36.0,Norte,M,120000.0
7282.0,N,Preferencial,70.0,Norte,M,125000.0
7284.0,N,Prestige,70.0,Norte,M,160000.0
7304.0,N,Emergente,56.0,Norte,F,15000.0
7322.0,N,Prestige,75.0,Norte,M,250000.0
7349.0,N,Clasico,71.0,Norte,M,80000.0
7370.0,N,Emergente,60.0,Norte,F,400000.0
7378.0,N,Prestige,53.0,Norte,M,125000.0
7389.0,N,Prestige,63.0,Norte,M,400000.0
7451.0,N,Emergente,55.0,Norte,M,400000.0
7452.0,N,Prestige,54.0,Metropolitana,M,400000.0
7473.0,N,Emergente,67.0,Norte,F,85000.0
7482.0,N,Emergente,52.0,Norte,M,25000.0
7484.0,N,Mi_Negocio,56.0,Metropolitana,M,566000.0
7488.0,N,Emergente,55.0,Metropolitana,M,300000.0
7489.0,N,Clasico,41.0,Norte,F,30000.0
7493.0,N,Clasico,49.0,Norte,F,30000.0
7494.0,N,Clasico,39.0,Norte,F,25000.0
7528.0,N,Emergente,44.0,Norte,M,151000.0
7558.0,N,Preferencial,44.0,Norte,F,100000.0
7569.0,N,Emergente,55.0,Norte,M,100000.0
7587.0,N,Emergente,65.0,Norte,M,80000.0
7594.0,N,Clasico,45.0,Norte,M,25000.0
7602.0,N,Clasico,55.0,Norte,M,20400.0
7603.0,N,Preferencial,56.0,Norte,F,210000.0
7642.0,N,Emergente,43.0,Norte,M,225000.0
7644.0,N,Clasico,55.0,Norte,M,79000.0
7664.0,N,Mi_Negocio,66.0,Norte,M,400000.0
7670.0,N,Prestige,55.0,Norte,M,1418000.0
7673.0,N,Mi_Negocio,37.0,Norte,F,100000.0
7722.0,N,Emergente,52.0,Norte,F,100000.0
7747.0,N,Preferencial,53.0,Metropolitana,F,252000.0
7753.0,N,Prestige,50.0,Metropolitana,M,546000.0
7754.0,N,Prestige,48.0,Metropolitana,M,360000.0
7803.0,N,Clasico,50.0,Norte,F,42000.0
7807.0,N,Clasico,64.0,Norte,F,200000.0
7809.0,N,Mi_Negocio,71.0,Norte,M,400000.0
7840.0,N,Preferencial,76.0,Norte,M,400000.0
7842.0,N,Emergente,67.0,Metropolitana,F,90000.0
7852.0,N,Mi_Negocio,53.0,Norte,F,112010.0
7855.0,N,Preferencial,56.0,Norte,M,456000.0
7862.0,N,Clasico,45.0,Norte,F,50000.0
7891.0,N,Emergente,80.0,Norte,F,86400.0
7927.0,N,Prestige,71.0,Norte,M,504000.0
7960.0,N,Preferencial,39.0,Norte,M,231000.0
7968.0,N,Preferencial,60.0,Norte,M,250000.0
7969.0,N,Emergente,50.0,Norte,F,150000.0
7979.0,N,Prestige,48.0,Metropolitana,M,411000.0
7986.0,N,Emergente,48.0,Norte,M,178000.0
7987.0,N,Clasico,43.0,Norte,F,15000.0
8016.0,N,Prestige,53.0,Metropolitana,M,700000.0
8097.0,N,Prestige,55.0,Norte,M,400000.0
8099.0,N,Preferencial,69.0,Norte,F,120000.0
8102.0,N,Clasico,39.0,Norte,F,22000.0
8128.0,N,Prestige,56.0,Norte,M,400000.0
8133.0,N,Preferencial,52.0,Norte,M,65000.0
8322.0,N,Emergente,49.0,Norte,F,221000.0
8394.0,N,Preferencial,36.0,Norte,M,75000.0
8406.0,N,Clasico,68.0,Norte,F,75000.0
8437.0,N,Prestige,76.0,Norte,M,480000.0
8441.0,N,Clasico,40.0,Norte,M,25000.0
8460.0,N,Clasico,37.0,Norte,F,22500.0
8490.0,N,Mi_Negocio,34.0,Norte,F,400000.0
8497.0,N,Preferencial,58.0,Norte,M,312000.0
8510.0,N,Emergente,35.0,Norte,F,62000.0
8513.0,N,Prestige,49.0,Norte,M,500000.0
8528.0,N,Preferencial,43.0,Norte,M,210000.0
8589.0,N,Emergente,74.0,Norte,M,100000.0
8591.0,N,Prestige,43.0,Norte,F,300000.0
8623.0,N,Emergente,60.0,Norte,M,99000.0
8630.0,N,Clasico,80.0,Norte,F,50000.0
8638.0,N,Preferencial,54.0,Norte,F,160000.0
8710.0,N,,51.0,Norte,M,99000.0
8739.0,N,Preferencial,58.0,Norte,M,400000.0
8740.0,N,Clasico,51.0,Norte,F,20000.0
8950.0,N,Clasico,38.0,Norte,F,15000.0
8955.0,N,Clasico,47.0,Norte,F,19000.0
9157.0,N,Mi_Negocio,53.0,Norte,M,600000.0
9208.0,N,Emergente,38.0,Norte,M,32000.0
9222.0,N,Clasico,55.0,Norte,M,346000.0
9269.0,N,Prestige,42.0,Norte,F,74000.0
9297.0,N,Prestige,56.0,Norte,M,400000.0
9300.0,N,Preferencial,72.0,Norte,M,400000.0
9314.0,N,Mi_Negocio,67.0,Norte,M,400000.0
9333.0,N,Mi_Negocio,67.0,Norte,M,960000.0
9359.0,N,Clasico,60.0,Norte,M,27000.0
9534.0,N,Emergente,44.0,Norte,M,55000.0
9638.0,N,Clasico,50.0,Norte,F,40000.0
9683.0,N,Clasico,36.0,Norte,M,15000.0
9749.0,N,Emergente,72.0,Norte,M,158000.0
10003.0,N,Emergente,39.0,Norte,M,61000.0
10043.0,N,Preferencial,64.0,Norte,M,400000.0
10045.0,N,Preferencial,56.0,Norte,M,500000.0
10050.0,N,Preferencial,52.0,Norte,M,273000.0
10052.0,N,Emergente,48.0,Norte,M,300000.0
10072.0,N,Preferencial,66.0,Norte,F,40000.0
10073.0,N,Clasico,42.0,Norte,F,115000.0
10088.0,N,Preferencial,38.0,Norte,F,70000.0
10161.0,N,Emergente,45.0,Norte,M,70000.0
10162.0,N,Emergente,35.0,Norte,M,52000.0
10376.0,N,Clasico,44.0,Norte,F,15000.0
10432.0,N,Emergente,55.0,Norte,M,150000.0
10481.0,N,Clasico,48.0,Norte,M,37500.0
10586.0,N,Prestige,39.0,Metropolitana,M,1000000.0
10592.0,N,Preferencial,41.0,Norte,M,65670.0
10594.0,N,Mi_Negocio,57.0,Norte,M,262500.0
10616.0,N,Prestige,47.0,Norte,M,400000.0
10621.0,N,Prestige,47.0,Norte,F,105000.0
10622.0,N,Emergente,52.0,Norte,F,300000.0
10636.0,N,Preferencial,58.0,Norte,F,105000.0
10646.0,N,Preferencial,54.0,Norte,M,300000.0
10651.0,N,Preferencial,63.0,Norte,M,250000.0
10655.0,N,Prestige,52.0,Norte,M,250000.0
10662.0,N,,41.0,Norte,F,82000.0
10683.0,N,Prestige,63.0,Metropolitana,M,400000.0
10700.0,N,Emergente,46.0,Norte,F,100000.0
10766.0,N,Preferencial,46.0,Norte,M,213000.0
10780.0,N,Prestige,63.0,Norte,M,500000.0
10789.0,N,Prestige,66.0,Norte,M,400000.0
10845.0,N,Prestige,51.0,Norte,M,400000.0
10881.0,N,Emergente,49.0,Norte,F,79000.0
10982.0,N,Emergente,44.0,Norte,F,60000.0
11006.0,N,Emergente,49.0,Norte,M,52000.0
11012.0,N,Prestige,58.0,Norte,M,420000.0
11024.0,N,Mi_Negocio,44.0,Norte,M,100000.0
11167.0,N,Mi_Negocio,49.0,Norte,M,500000.0
11168.0,N,Preferencial,70.0,Norte,M,300000.0
11169.0,N,Preferencial,69.0,Norte,M,360000.0
11216.0,N,Clasico,43.0,Norte,F,18000.0
11261.0,N,Prestige,56.0,Norte,M,228440.0
11265.0,N,Preferencial,44.0,Norte,F,100000.0
11279.0,N,Emergente,37.0,Norte,M,15000.0
11286.0,N,Mi_Negocio,43.0,Norte,F,400000.0
11288.0,N,Emergente,59.0,Norte,F,200000.0
11302.0,N,Prestige,57.0,Norte,M,20000.0
11376.0,N,Emergente,56.0,Norte,M,15000.0
11381.0,N,Mi_Negocio,51.0,Norte,M,100000.0
11385.0,N,Emergente,67.0,Norte,M,16000.0
11391.0,N,Preferencial,63.0,Norte,M,100000.0
11392.0,N,Preferencial,54.0,Norte,M,662000.0
11424.0,N,Clasico,46.0,Norte,M,24000.0
11433.0,N,Preferencial,42.0,Norte,F,24000.0
11446.0,N,Clasico,39.0,Norte,F,10000.0
11455.0,N,Clasico,36.0,Norte,F,52500.0
11456.0,N,Clasico,40.0,Norte,M,37500.0
11480.0,N,Mi_Negocio,56.0,Norte,M,400000.0
11500.0,N,Emergente,36.0,Norte,M,50000.0
11535.0,N,Preferencial,52.0,Norte,M,985200.0
11576.0,N,Prestige,60.0,Metropolitana,M,200000.0
11685.0,N,Emergente,34.0,Norte,M,168000.0
11719.0,N,Emergente,45.0,Norte,F,200000.0
11764.0,N,Emergente,41.0,Norte,F,55000.0
11786.0,N,Preferencial,69.0,Norte,M,550000.0
11797.0,N,Emergente,66.0,Norte,F,7000.0
11842.0,N,Preferencial,55.0,Norte,F,90000.0
11868.0,N,Clasico,35.0,Norte,M,15000.0
11958.0,N,Emergente,64.0,Norte,M,84000.0
11959.0,N,Prestige,46.0,Metropolitana,M,360000.0
11991.0,N,Clasico,63.0,Norte,M,15000.0
11994.0,N,Clasico,51.0,Norte,M,15000.0
12007.0,N,Clasico,36.0,Norte,F,21000.0
12044.0,N,Preferencial,45.0,Norte,F,150000.0
12050.0,N,Prestige,65.0,Norte,F,300000.0
12056.0,N,Mi_Negocio,55.0,Norte,M,600000.0
12059.0,N,Prestige,45.0,Norte,F,840000.0
